"Match_Id","Innings","Team","Over","Runs Scored","Extras","Overall","x","RunRate","Target","RunsNeeded","RunRateNeeded","Team1","Team2","Toss_Winner","match_winner","TossWin","Win"
335991,2,1,5,2,0,2,23,4.6,111,88,5.86666666666667,1,8,8,1,0,1
336005,2,1,5,5,0,5,44,8.8,197,153,10.2,5,1,5,5,0,0
336008,2,1,5,4,0,4,29,5.8,179,150,10,4,1,4,4,0,0
336040,2,1,5,10,1,11,45,9,175,130,8.66666666666667,1,4,4,1,0,1
392191,2,1,5,16,1,17,47,9.4,159,112,7.46666666666667,4,1,1,1,1,1
392208,2,1,5,6,0,6,21,4.2,149,128,8.53333333333333,1,7,7,7,0,0
392236,2,1,5,1,0,1,34,6.8,189,155,10.3333333333333,3,1,3,1,0,1
392238,2,1,5,0,1,1,21,4.2,102,81,5.4,1,5,1,1,1,1
419114,2,1,5,16,0,16,52,10.4,136,84,5.6,1,2,1,1,1,1
419118,2,1,5,5,0,5,34,6.8,165,131,8.73333333333333,1,3,3,3,0,0
419123,2,1,5,10,0,10,37,7.4,169,132,8.8,5,1,5,5,0,0
419136,2,1,5,12,0,12,32,6.4,178,146,9.73333333333333,6,1,6,6,0,0
419163,2,1,5,7,1,8,38,7.6,133,95,6.33333333333333,1,5,5,1,0,1
419166,2,1,5,11,0,11,41,8.2,134,93,6.2,1,7,7,1,0,1
501203,2,1,5,5,0,5,44,8.8,154,110,7.33333333333333,3,1,3,3,0,0
501214,2,1,5,13,0,13,44,8.8,160,116,7.73333333333333,5,1,1,1,1,1
501219,2,1,5,4,0,4,23,4.6,82,59,3.93333333333333,1,5,1,1,1,1
501224,2,1,5,1,0,1,28,5.6,133,105,7,1,9,1,9,1,0
501239,2,1,5,6,0,6,40,8,120,80,5.33333333333333,1,4,1,1,1,1
501247,2,1,5,6,1,7,40,8,157,117,7.8,9,1,1,9,1,0
501250,2,1,5,6,0,6,31,6.2,115,84,5.6,1,3,3,1,0,1
501267,2,1,5,10,0,10,43,8.6,119,76,5.06666666666667,10,1,1,1,1,1
548317,2,1,5,10,0,10,23,4.6,165,142,9.46666666666667,5,1,1,5,1,0
548325,2,1,5,3,1,4,26,5.2,132,106,7.06666666666667,1,5,5,1,0,1
548328,2,1,5,5,3,8,41,8.2,135,94,6.26666666666667,1,4,1,4,1,0
548333,2,1,5,14,1,15,47,9.4,125,78,5.2,4,1,4,1,0,1
548340,2,1,5,5,1,6,32,6.4,127,95,6.33333333333333,8,1,1,1,1,1
548352,2,1,5,10,0,10,31,6.2,140,109,7.26666666666667,3,1,3,1,0,1
548362,2,1,5,13,0,13,50,10,154,104,6.93333333333333,6,1,6,1,0,1
548368,2,1,5,7,0,7,23,4.6,183,160,10.6666666666667,1,7,7,7,0,0
548386,2,1,5,5,0,5,41,8.2,191,150,10,1,3,3,1,0,1
598003,2,1,5,10,1,11,40,8,129,89,5.93333333333333,1,6,1,1,1,1
598010,2,1,5,10,0,10,36,7.2,145,109,7.26666666666667,5,1,1,5,1,0
598021,2,1,5,11,4,15,34,6.8,158,124,8.26666666666667,4,1,1,4,1,0
598036,2,1,5,8,0,8,36,7.2,150,114,7.6,1,4,4,1,0,1
598039,2,1,5,17,1,18,51,10.2,201,150,10,3,1,1,3,1,0
598048,2,1,5,5,0,5,40,8,133,93,6.2,1,5,5,1,0,1
598055,2,1,5,1,0,1,30,6,171,141,9.4,7,1,7,7,0,0
598062,2,1,5,5,0,5,27,5.4,116,89,5.93333333333333,1,2,1,1,1,1
598066,2,1,5,5,0,5,30,6,171,141,9.4,1,10,1,10,1,0
729312,2,1,5,0,0,0,19,3.8,133,114,7.6,1,4,1,4,1,0
733976,2,1,5,3,0,3,38,7.6,149,111,7.4,3,1,3,3,0,0
733984,2,1,5,8,0,8,39,7.8,171,132,8.8,5,1,1,5,1,0
733990,2,1,5,10,2,12,42,8.4,161,119,7.93333333333333,6,1,6,1,0,1
734002,2,1,5,6,1,7,48,9.6,150,102,6.8,4,1,1,1,1,1
734014,2,1,5,9,0,9,40,8,142,102,6.8,1,7,1,1,1,1
734020,2,1,5,7,0,7,21,4.2,143,122,8.13333333333333,11,1,11,1,0,1
734028,2,1,5,9,0,9,45,9,155,110,7.33333333333333,1,3,1,1,1,1
734042,2,1,5,15,2,17,43,8.6,161,118,7.86666666666667,1,11,1,1,1,1
734054,2,1,5,8,0,8,48,9.6,200,152,10.1333333333333,1,4,1,1,1,1
829710,2,1,5,13,0,13,32,6.4,169,137,9.13333333333333,1,7,1,1,1,1
829728,2,1,5,3,0,3,36,7.2,166,130,8.66666666666667,1,3,1,1,1,1
