"Match_Id","Innings","Team","Over","Runs Scored","Extras","Overall","x","RunRate","Target","RunsNeeded","RunRateNeeded","Team1","Team2","Toss_Winner","match_winner","TossWin","Win"
335991,2,1,15,3,1,4,81,5.4,111,30,6,1,8,8,1,0,1
336005,2,1,15,7,1,8,128,8.53333333333333,197,69,13.8,5,1,5,5,0,0
336008,2,1,15,16,0,16,101,6.73333333333333,179,78,15.6,4,1,4,4,0,0
336040,2,1,15,8,0,8,104,6.93333333333333,175,71,14.2,1,4,4,1,0,1
392208,2,1,15,10,0,10,98,6.53333333333333,149,51,10.2,1,7,7,7,0,0
392236,2,1,15,7,0,7,131,8.73333333333333,189,58,11.6,3,1,3,1,0,1
392238,2,1,15,4,0,4,65,4.33333333333333,102,37,7.4,1,5,1,1,1,1
419114,2,1,15,4,0,4,116,7.73333333333333,136,20,4,1,2,1,1,1,1
419118,2,1,15,6,0,6,90,6,165,75,15,1,3,3,3,0,0
419123,2,1,15,3,1,4,99,6.6,169,70,14,5,1,5,5,0,0
419136,2,1,15,7,0,7,98,6.53333333333333,178,80,16,6,1,6,6,0,0
419163,2,1,15,11,0,11,118,7.86666666666667,133,15,3,1,5,5,1,0,1
419166,2,1,15,7,0,7,107,7.13333333333333,134,27,5.4,1,7,7,1,0,1
501203,2,1,15,9,1,10,111,7.4,154,43,8.6,3,1,3,3,0,0
501214,2,1,15,11,1,12,130,8.66666666666667,160,30,6,5,1,1,1,1,1
501224,2,1,15,9,0,9,86,5.73333333333333,133,47,9.4,1,9,1,9,1,0
501239,2,1,15,7,0,7,102,6.8,120,18,3.6,1,4,1,1,1,1
501247,2,1,15,3,0,3,100,6.66666666666667,157,57,11.4,9,1,1,9,1,0
501267,2,1,15,8,0,8,114,7.6,119,5,1,10,1,1,1,1,1
548317,2,1,15,8,0,8,94,6.26666666666667,165,71,14.2,5,1,1,5,1,0
548325,2,1,15,3,0,3,95,6.33333333333333,132,37,7.4,1,5,5,1,0,1
548328,2,1,15,9,0,9,94,6.26666666666667,135,41,8.2,1,4,1,4,1,0
548333,2,1,15,10,0,10,107,7.13333333333333,125,18,3.6,4,1,4,1,0,1
548340,2,1,15,7,0,7,97,6.46666666666667,127,30,6,8,1,1,1,1,1
548352,2,1,15,11,0,11,103,6.86666666666667,140,37,7.4,3,1,3,1,0,1
548362,2,1,15,10,0,10,128,8.53333333333333,154,26,5.2,6,1,6,1,0,1
548368,2,1,15,3,1,4,106,7.06666666666667,183,77,15.4,1,7,7,7,0,0
548386,2,1,15,4,0,4,141,9.4,191,50,10,1,3,3,1,0,1
598003,2,1,15,2,0,2,100,6.66666666666667,129,29,5.8,1,6,1,1,1,1
598010,2,1,15,9,0,9,99,6.6,145,46,9.2,5,1,1,5,1,0
598021,2,1,15,8,1,9,116,7.73333333333333,158,42,8.4,4,1,1,4,1,0
598036,2,1,15,12,0,12,118,7.86666666666667,150,32,6.4,1,4,4,1,0,1
598039,2,1,15,6,1,7,126,8.4,201,75,15,3,1,1,3,1,0
598048,2,1,15,3,0,3,114,7.6,133,19,3.8,1,5,5,1,0,1
598055,2,1,15,3,0,3,92,6.13333333333333,171,79,15.8,7,1,7,7,0,0
598062,2,1,15,4,1,5,85,5.66666666666667,116,31,6.2,1,2,1,1,1,1
598066,2,1,15,8,0,8,122,8.13333333333333,171,49,9.8,1,10,1,10,1,0
729312,2,1,15,8,1,9,75,5,133,58,11.6,1,4,1,4,1,0
733976,2,1,15,3,0,3,91,6.06666666666667,149,58,11.6,3,1,3,3,0,0
733984,2,1,15,1,0,1,122,8.13333333333333,171,49,9.8,5,1,1,5,1,0
733990,2,1,15,4,0,4,128,8.53333333333333,161,33,6.6,6,1,6,1,0,1
734002,2,1,15,10,0,10,123,8.2,150,27,5.4,4,1,1,1,1,1
734014,2,1,15,4,0,4,100,6.66666666666667,142,42,8.4,1,7,1,1,1,1
734020,2,1,15,11,0,11,103,6.86666666666667,143,40,8,11,1,11,1,0,1
734028,2,1,15,7,0,7,119,7.93333333333333,155,36,7.2,1,3,1,1,1,1
734042,2,1,15,6,1,7,161,10.7333333333333,161,0,0,1,11,1,1,1,1
734054,2,1,15,9,0,9,151,10.0666666666667,200,49,9.8,1,4,1,1,1,1
829710,2,1,15,12,0,12,129,8.6,169,40,8,1,7,1,1,1,1
829728,2,1,15,15,0,15,118,7.86666666666667,166,48,9.6,1,3,1,1,1,1
829738,2,1,15,12,0,12,125,8.33333333333333,156,31,6.2,4,1,1,1,1,1
829744,2,1,15,8,0,8,119,7.93333333333333,147,28,5.6,6,1,1,1,1,1
829770,2,1,15,6,0,6,90,6,135,45,9,3,1,1,3,1,0
829796,2,1,15,10,0,10,136,9.06666666666667,184,48,9.6,1,4,4,1,0,1
829810,2,1,15,6,0,6,122,8.13333333333333,172,50,10,7,1,1,7,1,0
829816,2,1,15,11,0,11,144,9.6,200,56,11.2,5,1,5,5,0,0
980908,2,1,15,1,1,2,99,6.6,99,0,0,1,6,1,1,1,1
980920,2,1,15,12,0,12,112,7.46666666666667,143,31,6.2,11,1,11,1,0,1
980930,2,1,15,5,0,5,117,7.8,139,22,4.4,4,1,1,1,1,1
980944,2,1,15,4,0,4,114,7.6,161,47,9.4,12,1,1,1,1,1
980956,2,1,15,12,2,14,127,8.46666666666667,187,60,12,6,1,1,6,1,0
980964,2,1,15,18,0,18,123,8.2,186,63,12.6,2,1,1,1,1,1
981020,2,1,15,10,0,10,110,7.33333333333333,163,53,10.6,11,1,1,11,1,0
1082593,2,1,15,20,2,22,184,12.2666666666667,184,0,0,13,1,1,1,1,1
1082601,2,1,15,9,0,9,157,10.4666666666667,171,14,2.8,1,4,1,1,1,1
1082608,2,1,15,10,0,10,135,9,169,34,6.8,6,1,6,1,0,1
1082620,2,1,15,10,2,12,159,10.6,183,24,4.8,12,1,1,1,1,1
1082622,2,1,15,2,0,2,140,9.33333333333333,161,21,4.2,1,6,1,1,1,1
1082627,2,1,15,4,0,4,122,8.13333333333333,210,88,17.6,11,1,1,11,1,0
1082636,2,1,15,0,1,1,157,10.4666666666667,159,2,0.4,2,1,1,1,1,1
1082639,2,1,15,12,0,12,118,7.86666666666667,168,50,10,4,1,1,4,1,0
1082644,2,1,15,3,0,3,131,8.73333333333333,174,43,8.6,1,7,1,7,1,0
335987,2,2,15,2,2,4,81,5.4,223,142,28.4,2,1,2,1,1,0
335990,2,2,15,9,0,9,118,7.86666666666667,166,48,9.6,7,2,7,2,0,1
336001,2,2,15,4,1,5,132,8.8,179,47,9.4,2,3,3,3,0,0
336003,2,2,15,4,0,4,134,8.93333333333333,192,58,11.6,6,2,2,6,1,0
336007,2,2,15,3,0,3,106,7.06666666666667,166,60,12,8,2,8,2,0,1
336015,2,2,15,15,0,15,111,7.4,130,19,3.8,1,2,1,1,0,0
336028,2,2,15,10,0,10,83,5.53333333333333,198,115,23,5,2,2,5,1,0
392190,2,2,15,7,0,7,85,5.66666666666667,180,95,19,2,3,3,3,0,0
392193,2,2,15,11,0,11,109,7.26666666666667,185,76,15.2,2,8,8,8,0,0
392204,2,2,15,9,0,9,98,6.53333333333333,140,42,8.4,2,1,1,2,0,1
392213,2,2,15,15,0,15,122,8.13333333333333,150,28,5.6,2,7,7,2,0,1
392223,2,2,15,8,0,8,100,6.66666666666667,158,58,11.6,2,7,7,7,0,0
392226,2,2,15,8,1,9,119,7.93333333333333,174,55,11,2,1,2,2,1,1
392229,2,2,15,6,0,6,91,6.06666666666667,130,39,7.8,2,3,3,2,0,1
392237,2,2,15,14,0,14,102,6.8,135,33,6.6,2,6,6,2,0,1
392243,2,2,15,10,0,10,110,7.33333333333333,147,37,7.4,2,3,2,2,1,1
392244,2,2,15,4,0,4,103,6.86666666666667,144,41,8.2,2,8,2,8,1,0
419117,2,2,15,6,0,6,149,9.93333333333333,204,55,11,2,4,4,2,0,1
419124,2,2,15,2,0,2,117,7.8,152,35,7,7,2,7,2,0,1
419133,2,2,15,9,0,9,121,8.06666666666667,184,63,12.6,2,6,2,6,1,0
419141,2,2,15,12,0,12,122,8.13333333333333,182,60,12,4,2,4,2,0,1
419145,2,2,15,6,0,6,111,7.4,185,74,14.8,6,2,6,6,0,0
419153,2,2,15,10,0,10,120,8,161,41,8.2,2,1,2,2,1,1
419156,2,2,15,4,2,6,102,6.8,152,50,10,8,2,2,8,1,0
419159,2,2,15,1,0,1,124,8.26666666666667,131,7,1.4,5,2,5,2,0,1
419162,2,2,15,8,0,8,98,6.53333333333333,192,94,18.8,2,7,2,7,1,0
419167,2,2,15,9,0,9,118,7.86666666666667,185,67,13.4,2,7,7,7,0,0
501205,2,2,15,14,1,15,118,7.86666666666667,162,44,8.8,9,2,9,2,0,1
501213,2,2,15,9,0,9,92,6.13333333333333,176,84,16.8,8,2,2,8,1,0
501216,2,2,15,4,0,4,112,7.46666666666667,184,72,14.4,3,2,3,3,0,0
501227,2,2,15,13,2,15,152,10.1333333333333,172,20,4,1,2,2,2,1,1
501232,2,2,15,7,0,7,117,7.8,161,44,8.8,6,2,2,2,1,1
501257,2,2,15,11,0,11,122,8.13333333333333,147,25,5,5,2,2,2,1,1
501265,2,2,15,2,0,2,97,6.46666666666667,233,136,27.2,4,2,4,4,0,0
501271,2,2,15,8,0,8,104,6.93333333333333,129,25,5,2,3,2,2,1,1
501276,2,2,15,12,0,12,107,7.13333333333333,206,99,19.8,3,2,3,3,0,0
548320,2,2,15,4,1,5,81,5.4,166,85,17,2,1,2,1,1,0
548329,2,2,15,4,0,4,105,7,196,91,18.2,2,5,5,5,0,0
548332,2,2,15,5,0,5,117,7.8,183,66,13.2,2,10,10,2,0,1
548336,2,2,15,3,0,3,116,7.73333333333333,164,48,9.6,4,2,2,2,1,1
548349,2,2,15,2,0,2,87,5.8,191,104,20.8,1,2,1,1,0,0
548361,2,2,15,4,2,6,113,7.53333333333333,182,69,13.8,2,8,2,2,1,1
548365,2,2,15,14,0,14,111,7.4,142,31,6.2,7,2,2,2,1,1
548381,2,2,15,12,0,12,83,5.53333333333333,133,50,10,8,2,2,8,1,0
598013,2,2,15,2,0,2,117,7.8,155,38,7.6,2,1,2,2,1,1
598028,2,2,15,8,0,8,98,6.53333333333333,118,20,4,2,5,2,2,1,1
598038,2,2,15,5,0,5,94,6.26666666666667,195,101,20.2,7,2,7,7,0,0
598053,2,2,15,5,0,5,117,7.8,162,45,9,2,11,11,2,0,1
729286,2,2,15,20,0,20,124,8.26666666666667,146,22,4.4,6,2,2,2,1,1
729292,2,2,15,10,0,10,92,6.13333333333333,116,24,4.8,2,7,2,2,1,1
729304,2,2,15,7,0,7,116,7.73333333333333,151,35,7,2,1,2,1,1,0
733982,2,2,15,8,0,8,97,6.46666666666667,156,59,11.8,2,11,2,2,1,1
733988,2,2,15,6,0,6,125,8.33333333333333,188,63,12.6,7,2,2,7,1,0
733996,2,2,15,9,0,9,109,7.26666666666667,199,90,18,2,4,2,4,1,0
734018,2,2,15,11,0,11,86,5.73333333333333,139,53,10.6,3,2,3,2,0,1
734032,2,2,15,6,0,6,106,7.06666666666667,196,90,18,1,2,2,1,1,0
829718,2,2,15,2,0,2,119,7.93333333333333,178,59,11.8,1,2,2,2,1,1
829742,2,2,15,5,0,5,129,8.6,210,81,16.2,2,7,2,7,1,0
829750,2,2,15,12,0,12,111,7.4,182,71,14.2,2,3,2,3,1,0
829754,2,2,15,10,0,10,124,8.26666666666667,131,7,1.4,5,2,2,2,1,1
829784,2,2,15,3,0,3,100,6.66666666666667,149,49,9.8,3,2,3,3,0,0
980958,2,2,15,9,1,10,132,8.8,195,63,12.6,11,2,2,11,1,0
980974,2,2,15,19,0,19,142,9.46666666666667,192,50,10,2,12,2,2,1,1
981000,2,2,15,10,0,10,135,9,184,49,9.8,1,2,2,2,1,1
981016,2,2,15,7,0,7,111,7.4,139,28,5.6,6,2,2,2,1,1
981018,2,2,15,14,0,14,110,7.33333333333333,159,49,9.8,13,2,2,2,1,1
981024,2,2,15,9,0,9,158,10.5333333333333,209,51,10.2,2,11,11,11,0,0
1082591,2,2,15,9,0,9,139,9.26666666666667,208,69,13.8,11,2,2,11,1,0
1082607,2,2,15,4,1,5,92,6.13333333333333,162,70,14,2,12,2,12,1,0
1082624,2,2,15,5,0,5,71,4.73333333333333,158,87,17.4,12,2,2,12,1,0
1082633,2,2,15,6,4,10,98,6.53333333333333,139,41,8.2,2,4,2,4,1,0
335998,2,3,15,14,0,14,121,8.06666666666667,148,27,5.4,3,1,1,3,0,1
336014,2,3,15,4,0,4,142,9.46666666666667,188,46,9.2,6,3,3,3,1,1
336034,2,3,15,5,0,5,92,6.13333333333333,127,35,7,3,2,2,2,0,0
336038,2,3,15,13,0,13,157,10.4666666666667,212,55,11,3,5,5,5,0,0
336042,2,3,15,6,0,6,114,7.6,148,34,6.8,8,3,8,3,0,1
336044,2,3,15,16,0,16,116,7.73333333333333,113,-3,-0.6,3,4,4,3,0,1
392186,2,3,15,14,0,14,108,7.2,166,58,11.6,3,7,3,7,1,0
392194,2,3,15,8,1,9,148,9.86666666666667,190,42,8.4,3,6,6,6,0,0
392222,2,3,15,9,1,10,97,6.46666666666667,141,44,8.8,3,5,5,3,0,1
392232,2,3,15,6,4,10,102,6.8,148,46,9.2,3,7,7,3,0,1
419115,2,3,15,9,0,9,108,7.2,191,83,16.6,3,8,8,8,0,0
419121,2,3,15,9,1,10,153,10.2,186,33,6.6,6,3,6,3,0,1
419128,2,3,15,6,0,6,95,6.33333333333333,172,77,15.4,2,3,3,2,1,0
419134,2,3,15,13,1,14,119,7.93333333333333,178,59,11.8,5,3,5,5,0,0
419138,2,3,15,6,1,7,125,8.33333333333333,162,37,7.4,3,2,2,3,0,1
419164,2,3,15,7,0,7,130,8.66666666666667,193,63,12.6,4,3,3,3,1,1
501226,2,3,15,8,1,9,119,7.93333333333333,165,46,9.2,7,3,3,7,1,0
501233,2,3,15,3,0,3,104,6.93333333333333,142,38,7.6,10,3,10,3,0,1
501245,2,3,15,4,0,4,118,7.86666666666667,148,30,6,3,5,5,3,0,1
501273,2,3,15,11,0,11,110,7.33333333333333,176,66,13.2,2,3,3,3,1,1
548323,2,3,15,4,0,4,131,8.73333333333333,206,75,15,3,2,2,3,0,1
548337,2,3,15,11,0,11,104,6.93333333333333,147,43,8.6,3,5,5,3,0,1
548348,2,3,15,3,1,4,99,6.6,157,58,11.6,3,4,4,4,0,0
548366,2,3,15,8,0,8,77,5.13333333333333,127,50,10,5,3,3,3,1,1
548369,2,3,15,11,0,11,112,7.46666666666667,115,3,0.6,3,6,3,3,1,1
548373,2,3,15,5,0,5,115,7.66666666666667,159,44,8.8,1,3,3,3,1,1
598007,2,3,15,13,0,13,93,6.2,149,56,11.2,3,7,7,7,0,0
598012,2,3,15,6,0,6,103,6.86666666666667,139,36,7.2,4,3,3,3,1,1
598017,2,3,15,6,0,6,101,6.73333333333333,166,65,13,3,2,3,3,1,1
598020,2,3,15,3,1,4,99,6.6,160,61,12.2,3,10,10,10,0,0
598027,2,3,15,4,0,4,70,4.66666666666667,120,50,10,1,3,1,3,0,1
598031,2,3,15,10,2,12,140,9.33333333333333,186,46,9.2,3,5,5,3,0,1
